id,movie_id,actor_id
280,3,6248
281,3,8939
282,3,7072
283,3,3422
284,3,4913
285,3,12837
286,3,1982
287,3,3258
288,3,13199
289,3,15782
290,3,7512
291,3,9365
292,3,12825
293,3,3568
294,3,3141
295,3,5288
296,3,13078
297,3,7151
298,3,7152
299,3,3332
300,3,3445
301,3,14309
302,3,10468
303,3,15516
304,3,3143
305,3,9840
306,3,14530
307,3,11675
308,3,15438
309,3,2614
310,3,410
311,3,8320
312,3,9082
313,3,7997
314,3,14365
315,3,1561
316,3,15162
317,3,2435
318,3,4624
319,3,3209
320,3,12944
321,3,16405
322,3,1713
323,3,11829
324,3,10515
325,3,2497
326,3,15446
327,3,3925
328,3,13956
329,3,15523
330,3,11129
331,3,3150
332,3,8373
333,3,3986
334,3,3491
335,3,6583
336,3,3633
337,3,11929
338,3,8275
339,3,248
340,3,6629
341,3,8378
342,3,15664
343,3,9272
344,3,13960
345,3,16357
346,3,6957
347,3,3686
348,3,3470
349,3,8388
350,3,8391
351,3,14054
352,3,2762
353,3,9762
354,3,5742
355,3,4598
356,3,9098
357,3,13770
358,3,12489
359,3,2460
360,3,10277
361,3,2090
362,3,14226
363,3,12622
364,3,5253
365,3,8950
366,3,4352
367,3,5746
368,3,7063
369,3,631
370,3,16221
371,3,11202
372,3,11264
373,3,15573
374,3,9232
375,3,14764
376,3,8132
377,3,9898
378,3,4105
379,3,2014
380,3,7118
381,3,13549
382,3,8316
383,3,13572
384,3,13292
385,3,322
386,3,7599
387,3,2605
388,3,8150
389,3,15574
390,3,15701
391,3,2793
392,3,8156
393,3,7012
394,3,8170
395,3,7830
396,3,11360
397,3,2664
398,3,9850
399,3,3627
400,3,4634
401,3,9113
402,4,252
403,4,13472
404,4,3774
405,4,13462
406,4,7906
407,4,15219
408,4,9594
409,4,11217
410,4,5171
411,4,13182
412,4,5261
413,4,15687
414,4,2026
415,4,5019
416,4,4883
417,4,11551
418,4,10399
419,4,9692
420,4,3877
421,4,620
422,4,15913
423,4,7855
424,4,7801
425,4,60
426,4,15319
427,4,5504
428,4,10376
429,4,12080
430,4,5584
431,4,10441
432,4,6919
433,4,4768
434,4,6057
435,4,6965
436,4,2246
437,4,3264
438,4,2248
439,4,11804
440,4,8381
441,4,16431
442,4,8358
443,4,2243
444,4,7770
445,4,4724
446,4,9858
447,4,8815
448,4,14279
449,4,15582
450,4,8205
451,4,4318
452,4,14083
453,4,6471
454,4,682
455,4,12595
456,4,16160
457,4,12563
458,4,15624
459,4,12292
460,4,12667
461,4,13675
462,4,6588
463,4,7734
464,4,4282
465,4,5187
466,4,13301
467,4,16056
468,4,4563
469,4,15327
470,4,10334
471,4,230
472,4,6654
473,4,7884
474,4,6878
475,4,9409
476,4,3787
477,4,6662
478,4,6578
479,4,13705
480,4,14762
481,4,16113
482,4,9623
483,4,6539
484,4,8584
485,4,12987
486,4,9414
487,4,3145
488,4,5361
489,4,2055
490,4,14586
491,4,8775
492,4,8828
493,4,8981
494,4,14658
495,4,5239
496,4,15745
497,4,286
498,4,9468
499,4,290
500,4,13252
501,4,8058
502,4,7790
503,4,4778
504,4,7227
505,4,6028
506,4,253
507,4,13139
508,4,2242
509,4,5412
510,4,4811
511,4,11833
512,4,1100
513,4,8564
514,4,16277
515,4,8524
516,5,10597
517,5,7955
518,5,9562
519,5,4122
520,5,6712
521,5,4239
522,5,6766
523,5,6237
524,5,8406
525,5,4141
526,5,5422
527,5,13590
528,5,13859
529,5,15638
530,5,6940
531,5,1632
532,5,8123
533,5,16305
534,6,9754
535,6,1370
536,6,12909
537,6,2274
538,6,8283
539,6,4438
540,6,10214
541,6,14648
542,6,10512
543,6,2105
544,6,745
545,6,5143
546,6,9285
547,6,6082
548,6,11944
549,6,124
550,6,11194
551,6,11424
552,6,858
553,6,320
554,6,11085
555,6,336
556,6,6644
557,6,1315
558,6,12760
559,6,4726
560,6,1314
561,6,12936
562,6,9688
563,6,7492
564,6,16002
565,6,109
566,6,10166
567,6,12467
568,6,14478
569,6,12063
570,6,6265
571,6,15178
572,6,16541
573,6,4349
574,6,4717
575,6,1492
576,6,5791
577,6,16146
578,6,14843
579,6,5977
580,6,5305
581,6,1165
582,6,10021
583,6,1316
584,6,1834
585,6,1105
586,6,5979
587,6,4669
588,6,11227
589,6,4631
590,6,7707
591,6,748
592,6,3193
593,6,10396
594,6,5790
595,6,14842
596,6,12015
597,6,6144
598,6,12528
599,6,6642
600,6,15718
601,6,14747
602,6,10632
603,6,15179
604,6,411
605,6,12758
606,6,7674
607,6,12102
608,6,10130
609,6,10332
610,6,16728
611,6,10301
612,6,3822
613,6,10167
614,6,164
615,6,780
616,6,7436
617,6,165
618,6,7057
619,6,16383
620,6,10129
621,6,10600
622,6,16393
623,6,12572
624,6,14691
625,6,4654
626,6,10020
627,6,13917
628,6,7493
629,6,3311
630,6,3845
631,6,10131
632,6,12856
633,6,6641
634,6,5942
635,6,10187
636,6,14396
637,6,13988
638,6,12759
639,6,9543
640,6,15458
641,6,14393
642,6,9768
643,6,12992
644,6,163
645,6,3884
646,6,498
647,6,3280
648,6,5973
649,6,4267
650,6,424
651,6,5429
652,6,403
653,6,11193
654,6,5871
655,6,16549
656,6,6374
657,6,13053
658,6,4008
659,6,4640
660,6,8345
661,6,10585
662,6,9401
663,6,1682
664,6,7098
665,6,14517
666,6,13986
667,6,10128
668,6,8701
669,6,16765
670,6,8204
671,6,10382
672,6,9689
673,6,12408
674,6,6199
675,6,9690
676,6,4452
677,6,8784
678,6,1394
679,6,8785
680,6,6031
681,7,11923
682,7,478
683,7,14346
684,7,3393
685,7,7861
686,7,14349
687,7,2321
688,7,12086
689,7,1605
690,7,14035
691,7,520
692,7,10641
693,7,13205
694,7,7149
695,7,1441
696,7,6445
697,7,1997
698,7,6446
699,7,9513
700,7,6451
701,7,1871
702,7,14242
703,7,10186
704,7,3879
705,7,16130
706,7,8078
707,7,12398
708,7,11422
709,7,2009
710,7,14502
711,7,8110
712,7,15607
713,7,15466
714,7,775
715,7,6093
716,7,12643
717,7,7829
718,7,9855
719,7,8762
720,7,14936
721,7,6400
722,7,3565
723,7,4348
724,7,281
725,7,14057
726,7,13551
727,7,13800
728,7,12523
729,7,7303
730,7,9559
731,7,1625
732,7,8844
733,7,1794
734,7,12669
735,7,11090
736,7,2746
737,7,2013
738,7,7075
739,7,5544
740,7,11657
741,7,5308
742,7,5077
743,7,3174
744,7,10374
745,7,1350
746,7,183
747,7,6869
748,7,7127
749,7,8661
750,7,1694
751,7,4013
752,7,1352
753,7,6438
754,7,10054
755,7,525
756,7,4174
757,7,2873
758,7,2175
759,7,13446
760,7,364
761,7,13186
762,7,15889
763,7,4365
764,7,10224
765,7,4476
766,7,12560
767,7,10976
768,7,1065
769,7,5735
770,7,11069
771,7,2875
772,7,10500
773,7,14711
774,7,14668
775,7,13811
776,7,11076
777,7,1361
778,7,1902
779,7,765
780,7,3010
781,7,4774
782,7,16534
783,7,8612
784,7,8268
785,7,16748
786,7,5075
787,7,852
788,7,7162
789,7,1910
790,7,3378
791,7,12590
792,7,3646
793,7,12913
794,7,15520
795,7,14106
796,7,13727
797,7,9084
798,7,9861
799,7,14193
800,7,720
801,7,1459
802,7,6547
803,7,1486
804,7,8298
805,7,289
806,7,9216
807,7,14974
808,7,2499
809,7,1864
810,7,12390
811,7,6432
812,7,8383
813,7,3733
814,7,6249
815,7,4909
816,7,3019
817,7,294
818,7,11178
819,7,16341
820,7,3020
821,7,13326
822,7,3232
823,7,3629
824,7,2688
825,7,2157
826,7,2650
827,7,11196
828,7,6369
829,7,14508
830,7,3783
831,7,736
832,7,8989
833,7,11363
834,7,13294
835,7,10969
836,7,13407
837,7,13843
838,7,16306
839,7,6535
840,7,13596
841,8,15539
842,8,592
843,8,9467
844,8,8153
845,8,14168
846,8,12674
847,8,5037
848,8,2083
849,8,2016
850,8,16185
851,8,12313
852,8,1970
853,8,13777
854,8,4549
855,8,15992
856,8,7461
857,8,11082
858,8,5255
859,8,15101
860,8,4529
861,8,8395
862,8,1789
863,8,14946
864,8,9900
865,8,4446
866,8,1843
867,8,2772
868,8,2381
869,8,15135
870,8,13558
871,8,13164
